,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
70,120,69,500,30.0,4.0,2.5,0.99,0.2,0.0001,"Improvement limit
",49422
71,120,69,500,30.0,4.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48364
72,120,69,500,30.0,4.0,3.5,0.99,0.2,0.0001,"Improvement limit
",48394
73,120,69,500,30.0,4.0,4.0,0.99,0.2,0.0001,"Improvement limit
",48980
74,120,69,500,30.0,2.0,3.0,0.6400000000000001,0.2,0.0001,"Improvement limit
",50566
75,120,69,500,30.0,2.0,3.0,0.6725210478254342,0.2,0.0001,"Improvement limit
",50502
76,120,69,500,30.0,2.0,3.0,0.7066946246378438,0.2,0.0001,"Improvement limit
",48299
77,120,69,500,30.0,2.0,3.0,0.7426047022719447,0.2,0.0001,"Improvement limit
",50185
78,120,69,500,30.0,2.0,3.0,0.7803395195187859,0.2,0.0001,"Improvement limit
",49320
79,120,69,500,30.0,2.0,3.0,0.8199917989474527,0.2,0.0001,"Improvement limit
",49639
80,120,69,500,30.0,2.0,3.0,0.8616589747443807,0.2,0.0001,"Improvement limit
",48530
81,120,69,500,30.0,2.0,3.0,0.9054434321301255,0.2,0.0001,"Improvement limit
",47986
82,120,69,500,30.0,2.0,3.0,0.9514527589418899,0.2,0.0001,"Improvement limit
",46949
83,120,69,500,30.0,2.0,3.0,0.9998000100000001,0.2,0.0001,"Improvement limit
",49199
84,120,69,500,30.0,2.0,3.0,0.99,0.1,0.0001,"Improvement limit
",48410
85,120,69,500,30.0,2.0,3.0,0.99,0.325,0.0001,"Improvement limit
",49047
86,120,69,500,30.0,2.0,3.0,0.99,0.55,0.0001,"Improvement limit
",48368
87,120,69,500,30.0,2.0,3.0,0.99,0.775,0.0001,"Improvement limit
",46931
88,120,69,500,30.0,2.0,3.0,0.99,1.0,0.0001,"Improvement limit
",48476
89,120,69,500,30.0,2.0,3.0,0.99,0.2,1.0,"Improvement limit
",78343
90,120,69,500,30.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",72907
91,120,69,500,30.0,2.0,3.0,0.99,0.2,0.001,"Improvement limit
",47961
92,120,69,500,30.0,2.0,3.0,0.99,0.2,0.001,"Improvement limit
",47961
93,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",46835
94,120,69,500,10.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",50214
95,120,69,500,43.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48505
96,120,69,500,77.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48135
97,120,69,500,110.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",48271
98,120,69,500,143.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48740
99,120,69,500,177.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",47303
100,120,69,500,210.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48652
101,120,69,500,243.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",48363
102,120,69,500,277.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",46617
103,120,69,500,310.0,2.0,3.0,0.99,0.2,0.0001,"Time limit
",47931
104,120,69,500,277.0,0.5,0.5,0.99,0.2,0.0001,"Time limit
",430202
105,120,69,500,277.0,0.5,1.0,0.99,0.2,0.0001,"Time limit
",240278
106,120,69,500,277.0,0.5,1.5,0.99,0.2,0.0001,"Time limit
",125425
107,120,69,500,277.0,0.5,2.0,0.99,0.2,0.0001,"Time limit
",81408
108,120,69,500,277.0,0.5,2.5,0.99,0.2,0.0001,"Time limit
",67487
109,120,69,500,277.0,0.5,3.0,0.99,0.2,0.0001,"Time limit
",60121
