,max_runtime,seed,itterations,ants,alpha,beta,rho,Q,tau0,exit_status,path
71,120,69,500,30.0,4.0,3.0,0.99,0.2,0.0001,"Improvement limit
",591
72,120,69,500,30.0,4.0,3.5,0.99,0.2,0.0001,"Improvement limit
",602
73,120,69,500,30.0,4.0,4.0,0.99,0.2,0.0001,"Improvement limit
",598
74,120,69,500,30.0,2.0,3.0,0.6400000000000001,0.2,0.0001,"Improvement limit
",586
75,120,69,500,30.0,2.0,3.0,0.6725210478254342,0.2,0.0001,"Improvement limit
",572
76,120,69,500,30.0,2.0,3.0,0.7066946246378438,0.2,0.0001,"Improvement limit
",572
77,120,69,500,30.0,2.0,3.0,0.7426047022719447,0.2,0.0001,"Improvement limit
",593
78,120,69,500,30.0,2.0,3.0,0.7803395195187859,0.2,0.0001,"Improvement limit
",577
79,120,69,500,30.0,2.0,3.0,0.8199917989474527,0.2,0.0001,"Improvement limit
",567
80,120,69,500,30.0,2.0,3.0,0.8616589747443807,0.2,0.0001,"Improvement limit
",581
81,120,69,500,30.0,2.0,3.0,0.9054434321301255,0.2,0.0001,"Improvement limit
",562
82,120,69,500,30.0,2.0,3.0,0.9514527589418899,0.2,0.0001,"Improvement limit
",578
83,120,69,500,30.0,2.0,3.0,0.9998000100000001,0.2,0.0001,"Improvement limit
",563
84,120,69,500,30.0,2.0,3.0,0.99,0.1,0.0001,"Improvement limit
",568
85,120,69,500,30.0,2.0,3.0,0.99,0.325,0.0001,"Improvement limit
",582
86,120,69,500,30.0,2.0,3.0,0.99,0.55,0.0001,"Improvement limit
",571
87,120,69,500,30.0,2.0,3.0,0.99,0.775,0.0001,"Improvement limit
",578
88,120,69,500,30.0,2.0,3.0,0.99,1.0,0.0001,"Improvement limit
",577
89,120,69,500,30.0,2.0,3.0,0.99,0.2,1.0,"Improvement limit
",789
90,120,69,500,30.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",554
91,120,69,500,30.0,2.0,3.0,0.99,0.2,0.001,"Improvement limit
",564
92,120,69,500,30.0,2.0,3.0,0.99,0.2,0.001,"Improvement limit
",564
93,120,69,500,30.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",569
94,120,69,500,10.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",574
95,120,69,500,17.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",576
96,120,69,500,23.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",564
97,120,69,500,30.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",554
98,120,69,500,37.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",565
99,120,69,500,43.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",570
100,120,69,500,50.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",561
101,120,69,500,57.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",569
102,120,69,500,63.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",567
103,120,69,500,70.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",560
104,120,69,500,70.0,0.5,0.5,0.99,0.2,0.01,"Improvement limit
",1604
105,120,69,500,70.0,0.5,1.0,0.99,0.2,0.01,"Improvement limit
",1213
106,120,69,500,70.0,0.5,1.5,0.99,0.2,0.01,"Improvement limit
",906
107,120,69,500,70.0,0.5,2.0,0.99,0.2,0.01,"Improvement limit
",764
108,120,69,500,70.0,0.5,2.5,0.99,0.2,0.01,"Improvement limit
",741
109,120,69,500,70.0,0.5,3.0,0.99,0.2,0.01,"Improvement limit
",643
110,120,69,500,70.0,0.5,3.5,0.99,0.2,0.01,"Improvement limit
",614
111,120,69,500,70.0,0.5,4.0,0.99,0.2,0.01,"Improvement limit
",610
112,120,69,500,70.0,1.0,0.5,0.99,0.2,0.01,"Improvement limit
",1087
113,120,69,500,70.0,1.0,1.0,0.99,0.2,0.01,"Improvement limit
",745
114,120,69,500,70.0,1.0,1.5,0.99,0.2,0.01,"Improvement limit
",617
115,120,69,500,70.0,1.0,2.0,0.99,0.2,0.01,"Improvement limit
",624
116,120,69,500,70.0,1.0,2.5,0.99,0.2,0.01,"Improvement limit
",584
117,120,69,500,70.0,1.0,3.0,0.99,0.2,0.01,"Improvement limit
",585
118,120,69,500,70.0,1.0,3.5,0.99,0.2,0.01,"Improvement limit
",579
119,120,69,500,70.0,1.0,4.0,0.99,0.2,0.01,"Improvement limit
",574
120,120,69,500,70.0,1.5,0.5,0.99,0.2,0.01,"Improvement limit
",587
121,120,69,500,70.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",550
122,120,69,500,70.0,1.5,1.5,0.99,0.2,0.01,"Improvement limit
",566
123,120,69,500,70.0,1.5,2.0,0.99,0.2,0.01,"Improvement limit
",562
124,120,69,500,70.0,1.5,2.5,0.99,0.2,0.01,"Improvement limit
",561
125,120,69,500,70.0,1.5,3.0,0.99,0.2,0.01,"Improvement limit
",564
126,120,69,500,70.0,1.5,3.5,0.99,0.2,0.01,"Improvement limit
",561
127,120,69,500,70.0,1.5,4.0,0.99,0.2,0.01,"Improvement limit
",565
128,120,69,500,70.0,2.0,0.5,0.99,0.2,0.01,"Improvement limit
",578
129,120,69,500,70.0,2.0,1.0,0.99,0.2,0.01,"Improvement limit
",566
130,120,69,500,70.0,2.0,1.5,0.99,0.2,0.01,"Improvement limit
",568
131,120,69,500,70.0,2.0,2.0,0.99,0.2,0.01,"Improvement limit
",561
132,120,69,500,70.0,2.0,2.5,0.99,0.2,0.01,"Improvement limit
",565
133,120,69,500,70.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",560
134,120,69,500,70.0,2.0,3.5,0.99,0.2,0.01,"Improvement limit
",565
135,120,69,500,70.0,2.0,4.0,0.99,0.2,0.01,"Improvement limit
",566
136,120,69,500,70.0,2.5,0.5,0.99,0.2,0.01,"Improvement limit
",598
137,120,69,500,70.0,2.5,1.0,0.99,0.2,0.01,"Improvement limit
",573
138,120,69,500,70.0,2.5,1.5,0.99,0.2,0.01,"Improvement limit
",588
139,120,69,500,70.0,2.5,2.0,0.99,0.2,0.01,"Improvement limit
",566
140,120,69,500,70.0,2.5,2.5,0.99,0.2,0.01,"Improvement limit
",570
141,120,69,500,70.0,2.5,3.0,0.99,0.2,0.01,"Improvement limit
",569
142,120,69,500,70.0,2.5,3.5,0.99,0.2,0.01,"Improvement limit
",572
143,120,69,500,70.0,2.5,4.0,0.99,0.2,0.01,"Improvement limit
",578
144,120,69,500,70.0,3.0,0.5,0.99,0.2,0.01,"Improvement limit
",631
145,120,69,500,70.0,3.0,1.0,0.99,0.2,0.01,"Improvement limit
",575
146,120,69,500,70.0,3.0,1.5,0.99,0.2,0.01,"Improvement limit
",574
147,120,69,500,70.0,3.0,2.0,0.99,0.2,0.01,"Improvement limit
",571
148,120,69,500,70.0,3.0,2.5,0.99,0.2,0.01,"Improvement limit
",567
149,120,69,500,70.0,3.0,3.0,0.99,0.2,0.01,"Improvement limit
",574
150,120,69,500,70.0,3.0,3.5,0.99,0.2,0.01,"Improvement limit
",564
151,120,69,500,70.0,3.0,4.0,0.99,0.2,0.01,"Improvement limit
",568
152,120,69,500,70.0,3.5,0.5,0.99,0.2,0.01,"Improvement limit
",590
153,120,69,500,70.0,3.5,1.0,0.99,0.2,0.01,"Improvement limit
",563
154,120,69,500,70.0,3.5,1.5,0.99,0.2,0.01,"Improvement limit
",566
155,120,69,500,70.0,3.5,2.0,0.99,0.2,0.01,"Improvement limit
",579
156,120,69,500,70.0,3.5,2.5,0.99,0.2,0.01,"Improvement limit
",584
157,120,69,500,70.0,3.5,3.0,0.99,0.2,0.01,"Improvement limit
",569
158,120,69,500,70.0,3.5,3.5,0.99,0.2,0.01,"Improvement limit
",570
159,120,69,500,70.0,3.5,4.0,0.99,0.2,0.01,"Improvement limit
",576
160,120,69,500,70.0,4.0,0.5,0.99,0.2,0.01,"Improvement limit
",629
161,120,69,500,70.0,4.0,1.0,0.99,0.2,0.01,"Improvement limit
",595
162,120,69,500,70.0,4.0,1.5,0.99,0.2,0.01,"Improvement limit
",603
163,120,69,500,70.0,4.0,2.0,0.99,0.2,0.01,"Improvement limit
",584
164,120,69,500,70.0,4.0,2.5,0.99,0.2,0.01,"Improvement limit
",582
165,120,69,500,70.0,4.0,3.0,0.99,0.2,0.01,"Improvement limit
",564
166,120,69,500,70.0,4.0,3.5,0.99,0.2,0.01,"Improvement limit
",562
167,120,69,500,70.0,4.0,4.0,0.99,0.2,0.01,"Improvement limit
",577
168,120,69,500,70.0,2.0,3.0,0.6400000000000001,0.2,0.01,"Improvement limit
",569
169,120,69,500,70.0,2.0,3.0,0.6725210478254342,0.2,0.01,"Improvement limit
",574
170,120,69,500,70.0,2.0,3.0,0.7066946246378438,0.2,0.01,"Improvement limit
",564
171,120,69,500,70.0,2.0,3.0,0.7426047022719447,0.2,0.01,"Improvement limit
",570
172,120,69,500,70.0,2.0,3.0,0.7803395195187859,0.2,0.01,"Improvement limit
",556
173,120,69,500,70.0,2.0,3.0,0.8199917989474527,0.2,0.01,"Improvement limit
",564
174,120,69,500,70.0,2.0,3.0,0.8616589747443807,0.2,0.01,"Improvement limit
",565
175,120,69,500,70.0,2.0,3.0,0.9054434321301255,0.2,0.01,"Improvement limit
",567
176,120,69,500,70.0,2.0,3.0,0.9514527589418899,0.2,0.01,"Improvement limit
",567
177,120,69,500,70.0,2.0,3.0,0.9998000100000001,0.2,0.01,"Improvement limit
",564
178,120,69,500,70.0,2.0,3.0,0.99,0.1,0.01,"Improvement limit
",562
179,120,69,500,70.0,2.0,3.0,0.99,0.325,0.01,"Improvement limit
",554
180,120,69,500,70.0,2.0,3.0,0.99,0.55,0.01,"Improvement limit
",564
181,120,69,500,70.0,2.0,3.0,0.99,0.775,0.01,"Improvement limit
",555
182,120,69,500,70.0,2.0,3.0,0.99,1.0,0.01,"Improvement limit
",557
183,120,69,500,70.0,2.0,3.0,0.99,0.2,1.0,"Improvement limit
",730
184,120,69,500,70.0,2.0,3.0,0.99,0.2,0.01,"Improvement limit
",560
185,120,69,500,70.0,2.0,3.0,0.99,0.2,0.001,"Improvement limit
",557
186,120,69,500,70.0,2.0,3.0,0.99,0.2,0.001,"Improvement limit
",557
187,120,69,500,70.0,2.0,3.0,0.99,0.2,0.0001,"Improvement limit
",555
188,120,69,500,10.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",569
189,120,69,500,17.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",600
190,120,69,500,23.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",582
191,120,69,500,30.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",598
192,120,69,500,37.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",561
193,120,69,500,43.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",572
194,120,69,500,50.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",576
195,120,69,500,57.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",576
196,120,69,500,63.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",605
197,120,69,500,70.0,1.5,1.0,0.99,0.2,0.01,"Improvement limit
",550
198,120,69,500,70.0,0.5,0.5,0.99,0.2,0.01,"Improvement limit
",1604
199,120,69,500,70.0,0.5,1.0,0.99,0.2,0.01,"Improvement limit
",1213
200,120,69,500,70.0,0.5,1.5,0.99,0.2,0.01,"Improvement limit
",906
201,120,69,500,70.0,0.5,2.0,0.99,0.2,0.01,"Improvement limit
",764
202,120,69,500,70.0,0.5,2.5,0.99,0.2,0.01,"Improvement limit
",741
203,120,69,500,70.0,0.5,3.0,0.99,0.2,0.01,"Improvement limit
",643
204,120,69,500,70.0,0.5,3.5,0.99,0.2,0.01,"Improvement limit
",614
205,120,69,500,70.0,0.5,4.0,0.99,0.2,0.01,"Improvement limit
",610
206,120,69,500,70.0,1.0,0.5,0.99,0.2,0.01,"Improvement limit
",1087
207,120,69,500,70.0,1.0,1.0,0.99,0.2,0.01,"Improvement limit
",745
208,120,69,500,70.0,1.0,1.5,0.99,0.2,0.01,"Improvement limit
",617
209,120,69,500,70.0,1.0,2.0,0.99,0.2,0.01,"Improvement limit
",624
210,120,69,500,70.0,1.0,2.5,0.99,0.2,0.01,"Improvement limit
",584
211,120,69,500,70.0,1.0,3.0,0.99,0.2,0.01,"Improvement limit
",585
212,120,69,500,70.0,1.0,3.5,0.99,0.2,0.01,"Improvement limit
",579
213,120,69,500,70.0,1.0,4.0,0.99,0.2,0.01,"Improvement limit
",574
